strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict,tier,tier_reason
BuyAndHold(ticker=WDC),benchmark,4.976,0.35,2.16,0.0575,2.3882,-0.907,0.06,0.978,0.04,1.0,0.88,0.0,False,0.35274071097960763,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=GEV),benchmark,4.569,0.1,1.88,0.0254,1.4743,-0.138,0.18,0.993,0.04,1.0,1.0,0.0,False,0.10293851637077725,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendFollowCash(basket=target_holdings,fallback=IEF,rebalance=W-FRI,sma_window=200)",tsmom,4.362,1.05,1.32,0.2271,0.404,-0.309,0.73,1.0,7.96,0.16,0.75,0.0,False,1.0044551403720103,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"EqualWeightUniverse(basket=target_holdings,rebalance=ME)",benchmark,4.244,0.78,1.45,0.2538,0.6181,-0.743,0.34,1.0,3.07,0.14,0.62,0.0,False,0.7702505922765512,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,4.228,0.82,1.77,0.3361,1.5324,-0.805,0.42,1.0,10.83,0.1,0.62,0.0,False,0.7901792428756117,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"XSRiskAdjMomentum(lookback_days=252,rebalance=ME,top_n=5)",xsmom,4.215,0.73,1.66,0.2516,1.2358,-0.751,0.34,1.0,10.82,0.07,0.62,0.0,False,0.6938930935472353,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"VolTargetedBasket(basket=target_holdings,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=63)",riskmanaged,4.193,0.93,1.31,0.2042,0.3561,-0.352,0.58,1.0,3.74,0.13,0.62,0.0,False,0.9092358000481136,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"EqualWeightUniverse(basket=ai_compute,rebalance=ME)",benchmark,4.184,0.72,1.41,0.2635,0.8719,-0.781,0.34,1.0,3.73,0.28,0.75,0.0,False,0.7073521260251132,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
SimpleMomentum12_1(top_n=5),benchmark,4.161,0.81,1.57,0.3026,1.2284,-0.752,0.4,1.0,10.29,0.08,0.62,0.0,False,0.7802349841535242,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"InverseVolBasket(basket=target_holdings,rebalance=ME)",riskmanaged,4.115,0.77,1.41,0.2376,0.5415,-0.739,0.32,1.0,3.56,0.11,0.62,0.0,False,0.7551885700205909,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
